name,country,role,number,goals,passes,games,minutes,g+p,penalties,doubles,hattrick,autogoals,yellow,doubleYellow,red,fairPlay
Фоде Балло-Туре,Сенегал,защитник,12,0,0,1,6,0,0,0,0,0,0,0,0,0
Тьяго Альмада,Аргентина,полузащитник,16,0,0,1,6,0,0,0,0,0,0,0,0,0
Тарек Салман,Катар,защитник,5,0,0,1,7,0,0,0,0,0,0,0,0,0
Кристиан Фасснахт,Швейцария,полузащитник,16,0,0,1,7,0,0,0,0,0,0,0,0,0
Хави Симонс,Нидерланды,полузащитник,25,0,0,1,8,0,0,0,0,0,0,0,0,0
Лиам Миллар,Канада,нападающий,23,0,0,1,9,0,0,0,0,0,0,0,0,0
Рубин Колвилл,Уэльс,полузащитник,25,0,0,1,9,0,0,0,0,0,0,0,0,0
Гонсалу Рамуш,Португалия,нападающий,26,0,0,2,10,0,0,0,0,0,0,0,0,0
Ханнибал Межбри,Тунис,полузащитник,8,0,0,1,10,0,0,0,0,0,0,0,0,0
Агустин Каноббио,Уругвай,нападающий,24,0,0,1,10,0,0,0,0,0,0,0,0,0
Херман Песселья,Аргентина,защитник,6,0,0,1,11,0,0,0,0,0,0,0,0,0
Лои Опенда,Бельгия,нападающий,24,0,0,1,12,0,0,0,0,0,0,0,0,0
Денис Одои,Гана,защитник,3,0,0,1,12,0,0,0,0,0,0,0,0,0
Марко Груич,Сербия,полузащитник,26,0,0,1,12,0,0,0,0,0,0,0,0,0
Срджян Бабич,Сербия,защитник,15,0,0,1,12,0,0,0,0,0,0,0,0,0
Люка Эрнандес,Франция,защитник,21,0,0,1,13,0,0,0,0,0,0,0,0,0
Филип Джуричич,Сербия,полузащитник,21,0,0,2,13,0,0,0,0,0,0,0,0,0
Дэвид Уотерспун,Канада,полузащитник,24,0,0,1,14,0,0,0,0,0,0,0,0,0
Шарль де Кетеларе,Бельгия,полузащитник,22,0,0,1,15,0,0,0,0,0,0,0,0,0
Матиас Винья,Уругвай,защитник,17,0,0,2,15,0,0,0,0,0,0,0,0,0
Мишель Абишер,Швейцария,полузащитник,14,0,0,1,15,0,0,0,0,0,0,0,0,0
Николас Джэксон,Сенегал,нападающий,7,0,0,1,16,0,0,0,0,0,0,0,0,0
Бэйли Райт,Австралия,защитник,8,0,0,1,16,0,0,0,0,0,0,0,0,0
Гилан Чаалани,Тунис,полузащитник,18,0,0,1,16,0,0,0,0,0,0,0,0,0
Роберто Альварадо,Мексика,нападающий,25,0,0,1,17,0,0,0,0,0,1,0,0,1
Лукас Каваллини,Канада,нападающий,9,0,0,1,18,0,0,0,0,0,0,0,0,0
Жереми Доку,Бельгия,нападающий,25,0,0,1,18,0,0,0,0,0,0,0,0,0
Артур Енджейчик,Польша,защитник,3,0,0,1,18,0,0,0,0,0,0,0,0,0
Аболфазл Джалали,Иран,защитник,25,0,0,1,18,0,0,0,0,0,1,0,0,1
Ваут Вегорст,Нидерланды,нападающий,19,0,0,3,19,0,0,0,0,0,0,0,0,0
Мислав Оршич,Хорватия,нападающий,18,0,1,3,19,1,0,0,0,0,0,0,0,0
Ноа Окафор,Швейцария,нападающий,19,0,0,2,19,0,0,0,0,0,0,0,0,0
Антуан Семеньо,Гана,нападающий,25,0,0,2,19,0,0,0,0,0,0,0,0,0
Шакил Мур,США,защитник,18,0,0,2,20,0,0,0,0,0,0,0,0,0
Денис Закариа,Швейцария,полузащитник,6,0,0,1,21,0,0,0,0,0,0,0,0,0
Роберт Сков,Дания,нападающий,24,0,0,1,21,0,0,0,0,0,1,0,0,1
Ансу Фати,Испания,нападающий,25,0,0,1,22,0,0,0,0,0,0,0,0,0
Авер Мабил,Австралия,полузащитник,11,0,0,2,22,0,0,0,0,0,0,0,0,0
Кристиан Бассогог,Камерун,нападающий,11,0,0,1,23,0,0,0,0,0,1,0,0,1
Фабиан Фрай,Швейцария,полузащитник,20,0,0,2,23,0,0,0,0,0,0,0,0,0
Абде Эззалзули,Марокко,нападающий,16,0,0,1,24,0,0,0,0,0,0,0,0,0
Дарко Лазович,Сербия,полузащитник,22,0,0,1,24,0,0,0,0,0,0,0,0,0
Оливье Нтчам,Камерун,полузащитник,22,0,0,1,24,0,0,0,0,0,0,0,0,0
Рональд Матаритта,Коста-Рика,защитник,22,0,0,2,24,0,0,0,0,0,0,0,0,0
Андре Силва,Португалия,нападающий,9,0,0,1,25,0,0,0,0,0,0,0,0,0
Жорж-Кевин Н'Куду,Камерун,полузащитник,7,0,0,2,25,0,0,0,0,0,0,0,0,0
Джавад Ямик,Марокко,защитник,18,0,0,2,25,0,0,0,0,0,0,0,0,0
Сон Хо-джун,Южная Корея,полузащитник,13,0,0,2,25,0,0,0,0,0,0,0,0,0
Кшиштоф Пентек,Польша,нападающий,23,0,0,2,26,0,0,0,0,0,0,0,0,0
Педро,Бразилия,нападающий,25,0,0,1,26,0,0,0,0,0,0,0,0,0
Мохаммед Ваад,Катар,полузащитник,4,0,0,2,26,0,0,0,0,0,0,0,0,0
Джоркаефф Реаско,Эквадор,нападающий,24,0,0,1,26,0,0,0,0,0,0,0,0,0
Али Ассадалла,Катар,полузащитник,8,0,0,1,26,0,0,0,0,0,0,0,0,0
Вильям Салиба,Франция,защитник,17,0,0,1,27,0,0,0,0,0,0,0,0,0
Таха Яссин Хенисси,Тунис,нападающий,11,0,0,2,27,0,0,0,0,0,1,0,0,1
Йонас Хофманн,Германия,полузащитник,18,0,0,2,28,0,0,0,0,0,0,0,0,0
Максимилиано Гомес,Уругвай,нападающий,18,0,0,2,28,0,0,0,0,0,0,0,0,0
Дамян Шиманьски,Польша,полузащитник,8,0,0,1,28,0,0,0,0,0,0,0,0,0
Брайан Руис,Коста-Рика,нападающий,10,0,0,1,29,0,0,0,0,0,0,0,0,0
Альваро Самора,Коста-Рика,полузащитник,26,0,0,1,29,0,0,0,0,0,0,0,0,0
Эзекиэль Паласиос,Аргентина,полузащитник,14,0,0,2,31,0,0,0,0,0,0,0,0,0
Деандре Йедлин,США,защитник,22,0,0,2,31,0,0,0,0,0,0,0,0,0
Даниэль-Кофи Киере,Гана,полузащитник,8,0,0,3,31,0,0,0,0,0,0,0,0,0
Ренато Штеффен,Швейцария,полузащитник,11,0,0,1,31,0,0,0,0,0,0,0,0,0
Харис Сеферович,Швейцария,нападающий,9,0,0,2,32,0,0,0,0,0,0,0,0,0
Карлос Родригес,Мексика,полузащитник,8,0,0,2,32,0,0,0,0,0,0,0,0,0
Джо Моррелл,Уэльс,полузащитник,16,0,0,2,32,0,0,0,0,0,0,0,0,0
Трент Александер-Арнольд,Англия,защитник,18,0,0,1,33,0,0,0,0,0,0,0,0,0
Иван Илич,Сербия,полузащитник,24,0,0,1,33,0,0,0,0,0,0,0,0,0
Карим Ансарифард,Иран,нападающий,10,0,0,2,33,0,0,0,0,0,0,0,0,0
Абдулрахман Аль-Абуд,Саудовская Аравия,нападающий,20,0,0,2,33,0,0,0,0,0,0,0,0,0
