name,country,role,number,goals,passes,games,minutes,g+p,penalties,doubles,hattrick,autogoals,yellow,doubleYellow,red,fairPlay
Ким Мун-Хван,Южная Корея,защитник,15,0,0,3,270,0,0,0,0,0,0,0,0,0
Абделькарим Хассан,Катар,защитник,3,0,0,3,270,0,0,0,0,0,0,0,0,0
Буалем Хухи,Катар,защитник,16,0,0,3,270,0,0,0,0,0,0,0,0,0
Яссин Мерия,Тунис,защитник,4,0,0,3,270,0,0,0,0,0,0,0,0,0
Сауд Абдулхамид,Саудовская Аравия,защитник,12,0,0,3,270,0,0,0,0,0,1,0,0,1
Нампали Менди,Сенегал,полузащитник,6,0,0,4,272,0,0,0,0,0,1,0,0,1
Уэстон Маккенни,США,полузащитник,8,0,0,4,275,0,0,0,0,0,1,0,0,1
Уокер Циммерман,США,защитник,3,0,0,4,278,0,0,0,0,0,0,0,0,0
Исмаил Якобс,Сенегал,защитник,14,0,1,4,279,1,0,0,0,0,1,0,0,1
Антуан Гризманн,Франция,нападающий,7,0,1,4,286,1,0,0,0,0,0,0,0,0
Хидэмаса Морита,Япония,полузащитник,13,0,0,3,286,0,0,0,0,0,0,0,0,0
Науэль Молина,Аргентина,защитник,26,0,1,4,287,1,0,0,0,0,0,0,0,0
Ватару Эндо,Япония,полузащитник,6,0,0,4,303,0,0,0,0,0,1,0,0,1
Сержиньо Дест,США,защитник,2,0,1,4,309,1,0,0,0,0,1,0,0,1
Орельен Тчуамени,Франция,полузащитник,8,0,0,4,323,0,0,0,0,0,1,0,0,1
Дзюни Ито,Япония,нападающий,14,0,1,4,323,1,0,0,0,0,0,0,0,0
Даити Камада,Япония,полузащитник,15,0,0,4,324,0,0,0,0,0,0,0,0,0
Деклан Райс,Англия,полузащитник,4,0,0,4,328,0,0,0,0,0,0,0,0,0
Абду Диалло,Сенегал,защитник,22,0,0,4,332,0,0,0,0,0,0,0,0,0
Гжегож Крыховяк,Польша,полузащитник,10,0,0,4,334,0,0,0,0,0,1,0,0,1
Люк Шоу,Англия,защитник,3,0,1,4,335,1,0,0,0,0,0,0,0,0
Харри Магуайр,Англия,защитник,6,0,1,4,340,1,0,0,0,0,0,0,0,0
Бартош Берешиньский,Польша,защитник,18,0,0,4,342,0,0,0,0,0,1,0,0,1
Юнус Муса,США,полузащитник,6,0,0,4,344,0,0,0,0,0,0,0,0,0
Джон Стоунс,Англия,защитник,5,0,0,4,346,0,0,0,0,0,0,0,0,0
Матео Ковачич,Хорватия,полузащитник,8,0,0,4,353,0,0,0,0,0,1,0,0,1
Джексон Ирвин,Австралия,полузащитник,22,0,0,4,355,0,0,0,0,0,2,0,0,2
Якуб Кивер,Польша,защитник,14,0,0,4,356,0,0,0,0,0,1,0,0,1
Натан Аке,Нидерланды,защитник,5,0,0,4,359,0,0,0,0,0,1,0,0,1
Энтони Робинсон,США,защитник,5,0,0,4,359,0,0,0,0,0,0,0,0,0
Вирджил ван Дейк,Нидерланды,защитник,4,0,0,4,360,0,0,0,0,0,0,0,0,0
Мэтти Кэш,Польша,защитник,2,0,0,4,360,0,0,0,0,0,2,0,0,2
Родриго Де Пауль,Аргентина,полузащитник,7,0,0,4,360,0,0,0,0,0,0,0,0,0
Тайлер Адамс,США,полузащитник,4,0,0,4,360,0,0,0,0,0,1,0,0,1
Аарон Муй,Австралия,полузащитник,13,0,0,4,360,0,0,0,0,0,1,0,0,1
Николас Отаменди,Аргентина,защитник,19,0,1,4,360,1,0,0,0,0,0,0,0,0
Тим Рим,США,защитник,13,0,0,4,360,0,0,0,0,0,1,0,0,1
Камиль Глик,Польша,защитник,15,0,0,4,360,0,0,0,0,0,0,0,0,0
Юссуф Сабали,Сенегал,защитник,21,0,0,4,360,0,0,0,0,0,0,0,0,0
Азиз Бехич,Австралия,защитник,16,0,0,4,360,0,0,0,0,0,1,0,0,1
Ке Роулз,Австралия,защитник,4,0,0,4,360,0,0,0,0,0,0,0,0,0
Гарри Суттар,Австралия,защитник,19,0,0,4,360,0,0,0,0,0,0,0,0,0
Лука Модрич,Хорватия,полузащитник,10,0,0,4,365,0,0,0,0,0,1,0,0,1
Деян Ловрен,Хорватия,защитник,6,0,1,4,390,1,0,0,0,0,1,0,0,1
Марцело Брозович,Хорватия,полузащитник,11,0,0,4,390,0,0,0,0,0,0,0,0,0
Йошко Гвардиол,Хорватия,защитник,20,0,0,4,390,0,0,0,0,0,0,0,0,0
Мая Ёсида,Япония,защитник,22,0,1,4,390,1,0,0,0,0,1,0,0,1
Йосип Юранович,Хорватия,защитник,22,0,1,4,390,1,0,0,0,0,0,0,0,0
Андре Онана,Камерун,вратарь,23,0,0,1,81,0,0,0,0,0,0,0,0,0
Мунир Моханд,Марокко,вратарь,12,0,0,1,90,0,0,0,0,0,0,0,0,0
Алиссон Бекер,Бразилия,вратарь,1,0,0,2,180,0,0,0,0,0,0,0,0,0
Эдерсон Мораес,Бразилия,вратарь,23,-1,0,1,90,0,0,0,0,0,0,0,0,0
Стив Манданда,Франция,вратарь,16,-1,0,1,90,0,0,0,0,0,0,0,0,0
Яссин Буну,Марокко,вратарь,1,-1,0,2,180,0,0,0,0,0,0,0,0,0
Ян Зоммер,Швейцария,вратарь,1,-1,0,2,180,0,0,0,0,0,0,0,0,0
Аймен Дамен,Тунис,вратарь,16,-1,0,3,270,0,0,0,0,0,0,0,0,0
Грегор Кобель,Швейцария,вратарь,21,-2,0,1,90,0,0,0,0,0,0,0,0,0
Саад аль-Шиб,Катар,вратарь,1,-2,0,1,90,0,-1,0,0,0,1,0,0,1
Хоссейн Хоссейни,Иран,вратарь,24,-2,0,2,160,0,0,0,0,0,0,0,0,0
Тибо Куртуа,Бельгия,вратарь,1,-2,0,3,270,0,0,0,0,0,0,0,0,0
Серхио Рочет,Уругвай,вратарь,23,-2,0,3,270,0,-1,0,0,0,0,0,0,0
Джордан Пикфорд,Англия,вратарь,1,-2,0,4,360,0,-1,0,0,0,0,0,0,0
Андрис Нопперт,Нидерланды,вратарь,23,-2,0,4,360,0,0,0,0,0,0,0,0,0
Доминик Ливакович,Хорватия,вратарь,1,-2,0,4,390,0,0,0,0,0,0,0,0,0
Даниэль Уорд,Уэльс,вратарь,12,-3,0,2,93,0,0,0,0,0,0,0,0,0
Уэйн Хеннесси,Уэльс,вратарь,1,-3,0,2,176,0,0,0,0,0,0,0,1,3
Девис Эпасси,Камерун,вратарь,16,-3,0,2,180,0,0,0,0,0,0,0,0,0
Каспер Шмейхель,Дания,вратарь,1,-3,0,3,270,0,0,0,0,0,0,0,0,0
Уго Льорис,Франция,вратарь,1,-3,0,3,270,0,-1,0,0,0,0,0,0,0
Гильермо Очоа,Мексика,вратарь,13,-3,0,3,270,0,0,0,0,0,0,0,0,0
Унай Симон,Испания,вратарь,23,-3,0,3,270,0,0,0,0,0,0,0,0,0
Эрнан Галиндес,Эквадор,вратарь,1,-3,0,3,270,0,-1,0,0,0,0,0,0,0
Эмилиано Мартинес,Аргентина,вратарь,23,-3,0,4,360,0,0,0,0,0,0,0,0,0
Диогу Кошта,Португалия,вратарь,22,-4,0,3,270,0,0,0,0,0,0,0,0,0
Ким Сынгю,Южная Корея,вратарь,1,-4,0,3,270,0,0,0,0,0,0,0,0,0
Мэтт Тёрнер,США,вратарь,1,-4,0,4,360,0,-1,0,0,0,0,0,0,0
Сюити Гонда,Япония,вратарь,12,-4,0,4,390,0,-1,0,0,0,0,0,0,0
Алиреза Беиранванд,Иран,вратарь,1,-5,0,2,110,0,0,0,0,0,0,0,0,0
Мешаал Баршам,Катар,вратарь,22,-5,0,2,180,0,0,0,0,0,0,0,0,0
Мануэль Нойер,Германия,вратарь,1,-5,0,3,270,0,0,0,0,1,0,0,0,0
Мохаммед аль-Овайс,Саудовская Аравия,вратарь,21,-5,0,3,270,0,-1,0,0,0,1,0,0,1
Войцех Щенсный,Польша,вратарь,1,-5,0,4,360,0,0,0,0,0,0,0,0,0
Мэтью Райан,Австралия,вратарь,1,-6,0,4,360,0,0,0,0,0,0,0,0,0
Милан Борян,Канада,вратарь,18,-7,0,3,270,0,0,0,0,0,0,0,0,0
Лоуренс Ати-Зиги,Гана,вратарь,1,-7,0,3,270,0,-1,0,0,0,0,0,0,0
Эдуар Менди,Сенегал,вратарь,16,-7,0,4,360,0,0,0,0,0,0,0,0,0
Ваня Милинкович-Савич,Сербия,вратарь,23,-8,0,3,270,0,0,0,0,0,0,0,0,0
Кейлор Навас,Коста-Рика,вратарь,1,-11,0,3,270,0,-1,0,0,0,0,0,0,0
